序号,所在目录,标题,标题末尾,标题链接,标题链接末尾路径,标签,网站题解链接,github 题解链接,通过率,难度,题解数目
2497,2400-2499,2497. 图中最大星和,图中最大星和,https://leetcode.com/problems/maximum-star-sum-of-a-graph/,maximum-star-sum-of-a-graph,贪心、图、数组、排序、堆（优先队列）,https://2xiao.github.io/fe/leetcode/problem/2497,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2497.md,38.3%,中等,50
2498,2400-2499,2498. 青蛙过河 II,青蛙过河 II,https://leetcode.com/problems/frog-jump-ii/,frog-jump-ii,贪心、数组、二分查找,https://2xiao.github.io/fe/leetcode/problem/2498,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2498.md,64.4%,中等,49
2499,2400-2499,2499. 让数组不相等的最小总代价,让数组不相等的最小总代价,https://leetcode.com/problems/minimum-total-cost-to-make-arrays-unequal/,minimum-total-cost-to-make-arrays-unequal,贪心、数组、哈希表、计数,https://2xiao.github.io/fe/leetcode/problem/2499,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2499.md,42.0%,困难,28
2500,2500-2599,2500. 删除每行中的最大值,删除每行中的最大值,https://leetcode.com/problems/delete-greatest-value-in-each-row/,delete-greatest-value-in-each-row,数组、矩阵、排序,https://2xiao.github.io/fe/leetcode/problem/2500,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2500.md,82.8%,简单,114
2501,2500-2599,2501. 数组中最长的方波,数组中最长的方波,https://leetcode.com/problems/longest-square-streak-in-an-array/,longest-square-streak-in-an-array,数组、哈希表、二分查找、动态规划、排序,https://2xiao.github.io/fe/leetcode/problem/2501,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2501.md,41.3%,中等,85
2502,2500-2599,2502. 设计内存分配器,设计内存分配器,https://leetcode.com/problems/design-memory-allocator/,design-memory-allocator,设计、数组、哈希表、模拟,https://2xiao.github.io/fe/leetcode/problem/2502,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2502.md,52.2%,中等,73
2503,2500-2599,2503. 矩阵查询可获得的最大分数,矩阵查询可获得的最大分数,https://leetcode.com/problems/maximum-number-of-points-from-grid-queries/,maximum-number-of-points-from-grid-queries,广度优先搜索、并查集、数组、排序、堆（优先队列）,https://2xiao.github.io/fe/leetcode/problem/2503,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2503.md,43.4%,困难,65
2504,2500-2599,2504. 把名字和职业联系起来,把名字和职业联系起来,https://leetcode.com/problems/concatenate-the-name-and-the-profession/,concatenate-the-name-and-the-profession,数据库,https://2xiao.github.io/fe/leetcode/problem/2504,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2504.md,76.4%,简单,8
2505,2500-2599,2505. 所有子序列和的按位或,所有子序列和的按位或,https://leetcode.com/problems/bitwise-or-of-all-subsequence-sums/,bitwise-or-of-all-subsequence-sums,位运算、脑筋急转弯、数组、数学,https://2xiao.github.io/fe/leetcode/problem/2505,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2505.md,58.8%,中等,4
2506,2500-2599,2506. 统计相似字符串对的数目,统计相似字符串对的数目,https://leetcode.com/problems/count-pairs-of-similar-strings/,count-pairs-of-similar-strings,数组、哈希表、字符串,https://2xiao.github.io/fe/leetcode/problem/2506,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2506.md,78.3%,简单,87
2507,2500-2599,2507. 使用质因数之和替换后可以取到的最小值,使用质因数之和替换后可以取到的最小值,https://leetcode.com/problems/smallest-value-after-replacing-with-sum-of-prime-factors/,smallest-value-after-replacing-with-sum-of-prime-factors,数学、数论,https://2xiao.github.io/fe/leetcode/problem/2507,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2507.md,49.9%,中等,60
2508,2500-2599,2508. 添加边使所有节点度数都为偶数,添加边使所有节点度数都为偶数,https://leetcode.com/problems/add-edges-to-make-degrees-of-all-nodes-even/,add-edges-to-make-degrees-of-all-nodes-even,图、哈希表,https://2xiao.github.io/fe/leetcode/problem/2508,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2508.md,29.4%,困难,54
2509,2500-2599,2509. 查询树中环的长度,查询树中环的长度,https://leetcode.com/problems/cycle-length-queries-in-a-tree/,cycle-length-queries-in-a-tree,树、二叉树,https://2xiao.github.io/fe/leetcode/problem/2509,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2509.md,65.2%,困难,60
2510,2500-2599,2510. 检查是否有路径经过相同数量的 0 和 1,检查是否有路径经过相同数量的 0 和 1,https://leetcode.com/problems/check-if-there-is-a-path-with-equal-number-of-0s-and-1s/,check-if-there-is-a-path-with-equal-number-of-0s-and-1s,数组、动态规划、矩阵,https://2xiao.github.io/fe/leetcode/problem/2510,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2510.md,69.1%,中等,7
2511,2500-2599,2511. 最多可以摧毁的敌人城堡数目,最多可以摧毁的敌人城堡数目,https://leetcode.com/problems/maximum-enemy-forts-that-can-be-captured/,maximum-enemy-forts-that-can-be-captured,数组、双指针,https://2xiao.github.io/fe/leetcode/problem/2511,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2511.md,49.8%,简单,66
2512,2500-2599,2512. 奖励最顶尖的 K 名学生,奖励最顶尖的 K 名学生,https://leetcode.com/problems/reward-top-k-students/,reward-top-k-students,数组、哈希表、字符串、排序、堆（优先队列）,https://2xiao.github.io/fe/leetcode/problem/2512,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2512.md,46.1%,中等,51
2513,2500-2599,2513. 最小化两个数组中的最大值,最小化两个数组中的最大值,https://leetcode.com/problems/minimize-the-maximum-of-two-arrays/,minimize-the-maximum-of-two-arrays,数学、二分查找、数论,https://2xiao.github.io/fe/leetcode/problem/2513,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2513.md,34.6%,中等,34
2514,2500-2599,2514. 统计同位异构字符串数目,统计同位异构字符串数目,https://leetcode.com/problems/count-anagrams/,count-anagrams,哈希表、数学、字符串、组合数学、计数,https://2xiao.github.io/fe/leetcode/problem/2514,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2514.md,46.3%,困难,35
2515,2500-2599,2515. 到目标字符串的最短距离,到目标字符串的最短距离,https://leetcode.com/problems/shortest-distance-to-target-string-in-a-circular-array/,shortest-distance-to-target-string-in-a-circular-array,数组、字符串,https://2xiao.github.io/fe/leetcode/problem/2515,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2515.md,55.7%,简单,69
2516,2500-2599,2516. 每种字符至少取 K 个,每种字符至少取 K 个,https://leetcode.com/problems/take-k-of-each-character-from-left-and-right/,take-k-of-each-character-from-left-and-right,哈希表、字符串、滑动窗口,https://2xiao.github.io/fe/leetcode/problem/2516,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2516.md,37.2%,中等,74
2517,2500-2599,2517. 礼盒的最大甜蜜度,礼盒的最大甜蜜度,https://leetcode.com/problems/maximum-tastiness-of-candy-basket/,maximum-tastiness-of-candy-basket,数组、二分查找、排序,https://2xiao.github.io/fe/leetcode/problem/2517,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2517.md,72.0%,中等,135
2518,2500-2599,2518. 好分区的数目,好分区的数目,https://leetcode.com/problems/number-of-great-partitions/,number-of-great-partitions,数组、动态规划,https://2xiao.github.io/fe/leetcode/problem/2518,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2518.md,42.6%,困难,31
2519,2500-2599,2519. 统计 K-Big 索引的数量,统计 K-Big 索引的数量,https://leetcode.com/problems/count-the-number-of-k-big-indices/,count-the-number-of-k-big-indices,树状数组、线段树、数组、二分查找、分治、有序集合、归并排序,https://2xiao.github.io/fe/leetcode/problem/2519,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2519.md,75.1%,困难,11
2520,2500-2599,2520. 统计能整除数字的位数,统计能整除数字的位数,https://leetcode.com/problems/count-the-digits-that-divide-a-number/,count-the-digits-that-divide-a-number,数学,https://2xiao.github.io/fe/leetcode/problem/2520,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2520.md,83.2%,简单,81
2521,2500-2599,2521. 数组乘积中的不同质因数数目,数组乘积中的不同质因数数目,https://leetcode.com/problems/distinct-prime-factors-of-product-of-array/,distinct-prime-factors-of-product-of-array,数组、哈希表、数学、数论,https://2xiao.github.io/fe/leetcode/problem/2521,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2521.md,62.6%,中等,63
2522,2500-2599,2522. 将字符串分割成值不超过 K 的子字符串,将字符串分割成值不超过 K 的子字符串,https://leetcode.com/problems/partition-string-into-substrings-with-values-at-most-k/,partition-string-into-substrings-with-values-at-most-k,贪心、字符串、动态规划,https://2xiao.github.io/fe/leetcode/problem/2522,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2522.md,49.5%,中等,59
2523,2500-2599,2523. 范围内最接近的两个质数,范围内最接近的两个质数,https://leetcode.com/problems/closest-prime-numbers-in-range/,closest-prime-numbers-in-range,数学、数论,https://2xiao.github.io/fe/leetcode/problem/2523,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2523.md,41.3%,中等,64
2524,2500-2599,2524. 子数组的最大频率分数,子数组的最大频率分数,https://leetcode.com/problems/maximum-frequency-score-of-a-subarray/,maximum-frequency-score-of-a-subarray,数组、哈希表、数学、滑动窗口,https://2xiao.github.io/fe/leetcode/problem/2524,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2524.md,52.2%,困难,3
2525,2500-2599,2525. 根据规则将箱子分类,根据规则将箱子分类,https://leetcode.com/problems/categorize-box-according-to-criteria/,categorize-box-according-to-criteria,数学,https://2xiao.github.io/fe/leetcode/problem/2525,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2525.md,47.5%,简单,37
2526,2500-2599,2526. 找到数据流中的连续整数,找到数据流中的连续整数,https://leetcode.com/problems/find-consecutive-integers-from-a-data-stream/,find-consecutive-integers-from-a-data-stream,设计、队列、哈希表、计数、数据流,https://2xiao.github.io/fe/leetcode/problem/2526,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2526.md,54.0%,中等,44
2527,2500-2599,2527. 查询数组 Xor 美丽值,查询数组 Xor 美丽值,https://leetcode.com/problems/find-xor-beauty-of-array/,find-xor-beauty-of-array,位运算、数组、数学,https://2xiao.github.io/fe/leetcode/problem/2527,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2527.md,70.3%,中等,40
2528,2500-2599,2528. 最大化城市的最小供电站数目,最大化城市的最小供电站数目,https://leetcode.com/problems/maximize-the-minimum-powered-city/,maximize-the-minimum-powered-city,贪心、队列、数组、二分查找、前缀和、滑动窗口,https://2xiao.github.io/fe/leetcode/problem/2528,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2528.md,40.5%,困难,37
2529,2500-2599,2529. 正整数和负整数的最大计数,正整数和负整数的最大计数,https://leetcode.com/problems/maximum-count-of-positive-integer-and-negative-integer/,maximum-count-of-positive-integer-and-negative-integer,数组、二分查找、计数,https://2xiao.github.io/fe/leetcode/problem/2529,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2529.md,76.3%,简单,74
2530,2500-2599,2530. 执行 K 次操作后的最大分数,执行 K 次操作后的最大分数,https://leetcode.com/problems/maximal-score-after-applying-k-operations/,maximal-score-after-applying-k-operations,贪心、数组、堆（优先队列）,https://2xiao.github.io/fe/leetcode/problem/2530,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2530.md,44.9%,中等,68
2531,2500-2599,2531. 使字符串总不同字符的数目相等,使字符串总不同字符的数目相等,https://leetcode.com/problems/make-number-of-distinct-characters-equal/,make-number-of-distinct-characters-equal,哈希表、字符串、计数,https://2xiao.github.io/fe/leetcode/problem/2531,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2531.md,29.7%,中等,87
2532,2500-2599,2532. 过桥的时间,过桥的时间,https://leetcode.com/problems/time-to-cross-a-bridge/,time-to-cross-a-bridge,数组、模拟、堆（优先队列）,https://2xiao.github.io/fe/leetcode/problem/2532,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2532.md,51.7%,困难,51
2533,2500-2599,2533. 好二进制字符串的数量,好二进制字符串的数量,https://leetcode.com/problems/number-of-good-binary-strings/,number-of-good-binary-strings,动态规划,https://2xiao.github.io/fe/leetcode/problem/2533,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2533.md,69.7%,中等,3
2534,2500-2599,2534. 通过门的时间,通过门的时间,https://leetcode.com/problems/time-taken-to-cross-the-door/,time-taken-to-cross-the-door,队列、数组、模拟,https://2xiao.github.io/fe/leetcode/problem/2534,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2534.md,63.0%,困难,8
2535,2500-2599,2535. 数组元素和与数字和的绝对差,数组元素和与数字和的绝对差,https://leetcode.com/problems/difference-between-element-sum-and-digit-sum-of-an-array/,difference-between-element-sum-and-digit-sum-of-an-array,数组、数学,https://2xiao.github.io/fe/leetcode/problem/2535,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2535.md,84.3%,简单,110
2536,2500-2599,2536. 子矩阵元素加 1,子矩阵元素加 1,https://leetcode.com/problems/increment-submatrices-by-one/,increment-submatrices-by-one,数组、矩阵、前缀和,https://2xiao.github.io/fe/leetcode/problem/2536,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2536.md,60.6%,中等,77
2537,2500-2599,2537. 统计好子数组的数目,统计好子数组的数目,https://leetcode.com/problems/count-the-number-of-good-subarrays/,count-the-number-of-good-subarrays,数组、哈希表、滑动窗口,https://2xiao.github.io/fe/leetcode/problem/2537,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2537.md,48.6%,中等,80
2538,2500-2599,2538. 最大价值和与最小价值和的差值,最大价值和与最小价值和的差值,https://leetcode.com/problems/difference-between-maximum-and-minimum-price-sum/,difference-between-maximum-and-minimum-price-sum,树、深度优先搜索、数组、动态规划,https://2xiao.github.io/fe/leetcode/problem/2538,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2538.md,48.5%,困难,43
2539,2500-2599,2539. 好子序列的个数,好子序列的个数,https://leetcode.com/problems/count-the-number-of-good-subsequences/,count-the-number-of-good-subsequences,哈希表、数学、字符串、组合数学、计数,https://2xiao.github.io/fe/leetcode/problem/2539,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2539.md,62.9%,中等,5
2540,2500-2599,2540. 最小公共值,最小公共值,https://leetcode.com/problems/minimum-common-value/,minimum-common-value,数组、哈希表、双指针、二分查找,https://2xiao.github.io/fe/leetcode/problem/2540,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2540.md,60.5%,简单,60
2541,2500-2599,2541. 使数组中所有元素相等的最小操作数 II,使数组中所有元素相等的最小操作数 II,https://leetcode.com/problems/minimum-operations-to-make-array-equal-ii/,minimum-operations-to-make-array-equal-ii,贪心、数组、数学,https://2xiao.github.io/fe/leetcode/problem/2541,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2541.md,31.2%,中等,32
2542,2500-2599,2542. 最大子序列的分数,最大子序列的分数,https://leetcode.com/problems/maximum-subsequence-score/,maximum-subsequence-score,贪心、数组、排序、堆（优先队列）,https://2xiao.github.io/fe/leetcode/problem/2542,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2542.md,51.2%,中等,35
2543,2500-2599,2543. 判断一个点是否可以到达,判断一个点是否可以到达,https://leetcode.com/problems/check-if-point-is-reachable/,check-if-point-is-reachable,数学、数论,https://2xiao.github.io/fe/leetcode/problem/2543,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2543.md,46.0%,困难,15
2544,2500-2599,2544. 交替数字和,交替数字和,https://leetcode.com/problems/alternating-digit-sum/,alternating-digit-sum,数学,https://2xiao.github.io/fe/leetcode/problem/2544,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2544.md,79.8%,简单,76
2545,2500-2599,2545. 根据第 K 场考试的分数排序,根据第 K 场考试的分数排序,https://leetcode.com/problems/sort-the-students-by-their-kth-score/,sort-the-students-by-their-kth-score,数组、矩阵、排序,https://2xiao.github.io/fe/leetcode/problem/2545,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2545.md,86.5%,中等,68
2546,2500-2599,2546. 执行逐位运算使字符串相等,执行逐位运算使字符串相等,https://leetcode.com/problems/apply-bitwise-operations-to-make-strings-equal/,apply-bitwise-operations-to-make-strings-equal,位运算、字符串,https://2xiao.github.io/fe/leetcode/problem/2546,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2546.md,42.2%,中等,50
2547,2500-2599,2547. 拆分数组的最小代价,拆分数组的最小代价,https://leetcode.com/problems/minimum-cost-to-split-an-array/,minimum-cost-to-split-an-array,数组、哈希表、动态规划、计数,https://2xiao.github.io/fe/leetcode/problem/2547,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2547.md,56.5%,困难,37
2548,2500-2599,2548. 填满背包的最大价格,填满背包的最大价格,https://leetcode.com/problems/maximum-price-to-fill-a-bag/,maximum-price-to-fill-a-bag,贪心、数组、排序,https://2xiao.github.io/fe/leetcode/problem/2548,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2548.md,58.3%,中等,3
2549,2500-2599,2549. 统计桌面上的不同数字,统计桌面上的不同数字,https://leetcode.com/problems/count-distinct-numbers-on-board/,count-distinct-numbers-on-board,数组、哈希表、数学、模拟,https://2xiao.github.io/fe/leetcode/problem/2549,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2549.md,62.9%,简单,46
2550,2500-2599,2550. 猴子碰撞的方法数,猴子碰撞的方法数,https://leetcode.com/problems/count-collisions-of-monkeys-on-a-polygon/,count-collisions-of-monkeys-on-a-polygon,递归、数学,https://2xiao.github.io/fe/leetcode/problem/2550,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2550.md,28.9%,中等,45
2551,2500-2599,2551. 将珠子放入背包中,将珠子放入背包中,https://leetcode.com/problems/put-marbles-in-bags/,put-marbles-in-bags,贪心、数组、排序、堆（优先队列）,https://2xiao.github.io/fe/leetcode/problem/2551,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2551.md,56.5%,困难,38
2552,2500-2599,2552. 统计上升四元组,统计上升四元组,https://leetcode.com/problems/count-increasing-quadruplets/,count-increasing-quadruplets,树状数组、数组、动态规划、枚举、前缀和,https://2xiao.github.io/fe/leetcode/problem/2552,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2552.md,44.2%,困难,37
2553,2500-2599,2553. 分割数组中数字的数位,分割数组中数字的数位,https://leetcode.com/problems/separate-the-digits-in-an-array/,separate-the-digits-in-an-array,数组、模拟,https://2xiao.github.io/fe/leetcode/problem/2553,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2553.md,82.5%,简单,61
2554,2500-2599,2554. 从一个范围内选择最多整数 I,从一个范围内选择最多整数 I,https://leetcode.com/problems/maximum-number-of-integers-to-choose-from-a-range-i/,maximum-number-of-integers-to-choose-from-a-range-i,贪心、数组、哈希表、二分查找、排序,https://2xiao.github.io/fe/leetcode/problem/2554,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2554.md,58.2%,中等,40
2555,2500-2599,2555. 两个线段获得的最多奖品,两个线段获得的最多奖品,https://leetcode.com/problems/maximize-win-from-two-segments/,maximize-win-from-two-segments,数组、二分查找、滑动窗口,https://2xiao.github.io/fe/leetcode/problem/2555,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2555.md,39.9%,中等,31
2556,2500-2599,2556. 二进制矩阵中翻转最多一次使路径不连通,二进制矩阵中翻转最多一次使路径不连通,https://leetcode.com/problems/disconnect-path-in-a-binary-matrix-by-at-most-one-flip/,disconnect-path-in-a-binary-matrix-by-at-most-one-flip,深度优先搜索、广度优先搜索、数组、动态规划、矩阵,https://2xiao.github.io/fe/leetcode/problem/2556,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2556.md,30.2%,中等,47
2557,2500-2599,2557. 从一个范围内选择最多整数 II,从一个范围内选择最多整数 II,https://leetcode.com/problems/maximum-number-of-integers-to-choose-from-a-range-ii/,maximum-number-of-integers-to-choose-from-a-range-ii,贪心、数组、二分查找、排序,https://2xiao.github.io/fe/leetcode/problem/2557,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2557.md,43.1%,中等,7
2558,2500-2599,2558. 从数量最多的堆取走礼物,从数量最多的堆取走礼物,https://leetcode.com/problems/take-gifts-from-the-richest-pile/,take-gifts-from-the-richest-pile,数组、模拟、堆（优先队列）,https://2xiao.github.io/fe/leetcode/problem/2558,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2558.md,68.1%,简单,71
2559,2500-2599,2559. 统计范围内的元音字符串数,统计范围内的元音字符串数,https://leetcode.com/problems/count-vowel-strings-in-ranges/,count-vowel-strings-in-ranges,数组、字符串、前缀和,https://2xiao.github.io/fe/leetcode/problem/2559,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2559.md,64.3%,中等,257
2560,2500-2599,2560. 打家劫舍 IV,打家劫舍 IV,https://leetcode.com/problems/house-robber-iv/,house-robber-iv,数组、二分查找,https://2xiao.github.io/fe/leetcode/problem/2560,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2560.md,49.6%,中等,66
2561,2500-2599,2561. 重排水果,重排水果,https://leetcode.com/problems/rearranging-fruits/,rearranging-fruits,贪心、数组、哈希表,https://2xiao.github.io/fe/leetcode/problem/2561,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2561.md,36.5%,困难,36
2562,2500-2599,2562. 找出数组的串联值,找出数组的串联值,https://leetcode.com/problems/find-the-array-concatenation-value/,find-the-array-concatenation-value,数组、双指针、模拟,https://2xiao.github.io/fe/leetcode/problem/2562,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2562.md,73.2%,简单,77
2563,2500-2599,2563. 统计公平数对的数目,统计公平数对的数目,https://leetcode.com/problems/count-the-number-of-fair-pairs/,count-the-number-of-fair-pairs,数组、双指针、二分查找、排序,https://2xiao.github.io/fe/leetcode/problem/2563,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2563.md,33.5%,中等,77
2564,2500-2599,2564. 子字符串异或查询,子字符串异或查询,https://leetcode.com/problems/substring-xor-queries/,substring-xor-queries,位运算、数组、哈希表、字符串,https://2xiao.github.io/fe/leetcode/problem/2564,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2564.md,36.4%,中等,61
2565,2500-2599,2565. 最少得分子序列,最少得分子序列,https://leetcode.com/problems/subsequence-with-the-minimum-score/,subsequence-with-the-minimum-score,双指针、字符串、二分查找,https://2xiao.github.io/fe/leetcode/problem/2565,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2565.md,35.8%,困难,34
2566,2500-2599,2566. 替换一个数字后的最大差值,替换一个数字后的最大差值,https://leetcode.com/problems/maximum-difference-by-remapping-a-digit/,maximum-difference-by-remapping-a-digit,贪心、数学,https://2xiao.github.io/fe/leetcode/problem/2566,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2566.md,63.7%,简单,50
2567,2500-2599,2567. 修改两个元素的最小分数,修改两个元素的最小分数,https://leetcode.com/problems/minimum-score-by-changing-two-elements/,minimum-score-by-changing-two-elements,贪心、数组、排序,https://2xiao.github.io/fe/leetcode/problem/2567,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2567.md,51.8%,中等,36
2568,2500-2599,2568. 最小无法得到的或值,最小无法得到的或值,https://leetcode.com/problems/minimum-impossible-or/,minimum-impossible-or,位运算、脑筋急转弯、数组,https://2xiao.github.io/fe/leetcode/problem/2568,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2568.md,59.8%,中等,28
2569,2500-2599,2569. 更新数组后处理求和查询,更新数组后处理求和查询,https://leetcode.com/problems/handling-sum-queries-after-update/,handling-sum-queries-after-update,线段树、数组,https://2xiao.github.io/fe/leetcode/problem/2569,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2569.md,39.7%,困难,43
2570,2500-2599,2570. 合并两个二维数组 - 求和法,合并两个二维数组 - 求和法,https://leetcode.com/problems/merge-two-2d-arrays-by-summing-values/,merge-two-2d-arrays-by-summing-values,数组、哈希表、双指针,https://2xiao.github.io/fe/leetcode/problem/2570,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2570.md,69.6%,简单,71
2571,2500-2599,2571. 将整数减少到零需要的最少操作数,将整数减少到零需要的最少操作数,https://leetcode.com/problems/minimum-operations-to-reduce-an-integer-to-0/,minimum-operations-to-reduce-an-integer-to-0,贪心、位运算、动态规划,https://2xiao.github.io/fe/leetcode/problem/2571,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2571.md,54.0%,中等,116
2572,2500-2599,2572. 无平方子集计数,无平方子集计数,https://leetcode.com/problems/count-the-number-of-square-free-subsets/,count-the-number-of-square-free-subsets,位运算、数组、数学、动态规划、状态压缩,https://2xiao.github.io/fe/leetcode/problem/2572,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2572.md,29.8%,中等,43
2573,2500-2599,2573. 找出对应 LCP 矩阵的字符串,找出对应 LCP 矩阵的字符串,https://leetcode.com/problems/find-the-string-with-lcp/,find-the-string-with-lcp,贪心、并查集、字符串、动态规划,https://2xiao.github.io/fe/leetcode/problem/2573,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2573.md,35.3%,困难,31
2574,2500-2599,2574. 左右元素和的差值,左右元素和的差值,https://leetcode.com/problems/left-and-right-sum-differences/,left-and-right-sum-differences,数组、前缀和,https://2xiao.github.io/fe/leetcode/problem/2574,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2574.md,85.0%,简单,104
2575,2500-2599,2575. 找出字符串的可整除数组,找出字符串的可整除数组,https://leetcode.com/problems/find-the-divisibility-array-of-a-string/,find-the-divisibility-array-of-a-string,数组、数学、字符串,https://2xiao.github.io/fe/leetcode/problem/2575,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2575.md,32.8%,中等,75
2576,2500-2599,2576. 求出最多标记下标,求出最多标记下标,https://leetcode.com/problems/find-the-maximum-number-of-marked-indices/,find-the-maximum-number-of-marked-indices,贪心、数组、双指针、二分查找、排序,https://2xiao.github.io/fe/leetcode/problem/2576,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2576.md,36.8%,中等,78
2577,2500-2599,2577. 在网格图中访问一个格子的最少时间,在网格图中访问一个格子的最少时间,https://leetcode.com/problems/minimum-time-to-visit-a-cell-in-a-grid/,minimum-time-to-visit-a-cell-in-a-grid,广度优先搜索、图、数组、矩阵、最短路、堆（优先队列）,https://2xiao.github.io/fe/leetcode/problem/2577,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2577.md,39.4%,困难,46
2578,2500-2599,2578. 最小和分割,最小和分割,https://leetcode.com/problems/split-with-minimum-sum/,split-with-minimum-sum,贪心、数学、排序,https://2xiao.github.io/fe/leetcode/problem/2578,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/2578.md,76.7%,简单,67
